Shop Name,District,Type,Cuisine,Address,Price/person
Cộng Cà Phê,District 3,Cafe,N/A,Cộng Cà Phê,60.000đ-100.000đ
Nem nướng Cô Điệp,District 10,Main meal,Vietnamese,370 Đường Nguyễn Tri Phương,60.000đ-100.000đ
Quán Chay Chợ Cũ,District 1,Main meal,Vietnamese,Quán Chay Chợ Cũ,< 60.000đ
Novo Coffee,District 10,Cafe,N/A,Novo Café 3 tháng 2,60.000đ-100.000đ
S' mores Cao Thắng,District 3,Cafe,N/A,S'mores Saigon - Cao Thắng,60.000đ-100.000đ
Daiichi Ramen,District 1,Main meal,Japanese,Daiichi Ramen,100.000đ-200.000đ
Ippudo Ramen,District 1,Main meal,Japanese,IPPUDO Le Thanh Ton Japanese Restaurant,100.000đ-200.000đ
Meat & Meet,District 1,Main meal,Korean,Meat & Meet,200.000đ-300.000đ
Bibli Library,District 1,Cafe,N/A,Bibli Library Café,60.000đ-100.000đ
Lẩu bò Nhà Gỗ,District 3,Main meal,Vietnamese,Lẩu bò Nhà gỗ - Sài Gòn,100.000đ-200.000đ
Spicy Box,District 1,Main meal,Korean,SPICY BOX SAIGON CENTRE,100.000đ-200.000đ
Johnson tokbokki,District 7,Main meal,Korean,Johnson tokbokki,100.000đ-200.000đ
Bánh ướt Ban Mê,District 1,Main meal,Vietnamese,10 Đường Tôn Thất Tùng,60.000đ-100.000đ
Bún đậu Homemade,District 1,Main meal,Vietnamese,1 Nguyễn Văn Tráng,60.000đ-100.000đ
Chè Thái Ý Phương,District 10,Dessert/Sweets,Vietnamese,Chè Thái Ý Phương,60.000đ-100.000đ
SnowBing,District 1,Dessert/Sweets,Korean,SNOW BINGS - Since 2015,60.000đ-100.000đ
Japanit Matcha,District 1,Cafe,Japanese,japanit matcha,60.000đ-100.000đ
Busan Korean Food,District 10,Main meal,Korean,Busan Korean Food,60.000đ-100.000đ
Beefsteak 100g,District 3,Main meal,Western,2/108,60.000đ-100.000đ
Bò-lế-rồ,District 3,Main meal,Western,2 Cao Thắng Phường,60.000đ-100.000đ
The 350F,District 1,Dessert/Sweets,N/A,36 Đường Nguyễn Trãi,100.000đ-200.000đ
Coconino,District 1,Dessert/Sweets,N/A,210a Nguyen Khac Nhu,60.000đ-100.000đ
Me-tetsu Izakaya,District 1,Main meal,Japanese,ME-TETSU IZAKAYA,100.000đ-200.000đ
Bánh mì bơ Campuchia A Tùng,District 1,Main meal,Vietnamese,171 Đường Cống Quỳnh,< 60.000đ
Bún quậy Kiến Xây,District 1,Main meal,Vietnamese,Bún Quậy KIẾN - XÂY Quận 1,60.000đ-100.000đ
Trà Chanh Con cá,District 10,Dessert/Sweets,Vietnamese,102 Đường Tô Hiến Thành,< 60.000đ
Newdays Matcha Cafe,District 1,Cafe,Japanese,Newdays Matcha Cafe,60.000đ-100.000đ
Tiệm bánh Cái Lò Nướng,District 1,Dessert/Sweets,N/A,Tiệm Bánh Cái Lò Nướng - Nguyễn Thị Minh Khai,60.000đ-100.000đ
The WiseLands,District 3,Cafe,N/A,THE WISELANDS Coffee,60.000đ-100.000đ
Cái Tiệm Cà Phê,District 1,Cafe,Vietnamese,Cái Tiệm Cà Phê,< 60.000đ
Phạm Nghiêm Trai,District 2,Main meal,N/A,Phạm Nghiêm Trai,300.000đ-500.000đ
Hey Pelo,District 1,Main meal,Western,Hey Pelo,100.000đ-200.000đ
Kichi Kichi,District 5,Main meal,Vietnamese,Kichi Kichi An Dương Vương,300.000đ-500.000đ
SushiX,District 2,Main meal,Korean,SUSHIX Vincom Thảo Điền,300.000đ-500.000đ
Banana Leaf,District 1,Main meal,India,Banana Leaf,200.000đ-300.000đ
Pazzi,District 1,Main meal,Western,Pazzi Pizza,300.000đ-500.000đ
Hikari Vegetarian,District 1,Main meal,Japanese,Hikari Vegetarian Cafe Q1,60.000đ-100.000đ
The Coffee House,District 1,Cafe,Vietnamese,The Coffee House - 3 Tháng 2,60.000đ-100.000đ
The Rán,District 10,Main meal,Korean,The Rán - Korean Local Food Restaurant,200.000đ-300.000đ
Baoz Dimsum,District 5,Main meal,Chinese,Baoz Dimsum,300.000đ-500.000đ
Lẩu cá kèo Bà Huyền,District 3,Main meal,Vietnamese,Lẩu Cá Kèo Bà Huyền,200.000đ-300.000đ
Cơm tấm Hồng Calmette,District 4,Main meal,Vietnamese,Quán Cơm Tấm Hồng Calmette,< 60.000đ
Sukiya,District 3,Main meal,Japanese,Sukiya Pasteur,100.000đ-200.000đ
Phê La,District 1,Cafe,Vietnamese,Phê La - Hồ Tùng Mậu,60.000đ-100.000đ
Nem nướng D'Ran,District 3,Main meal,Vietnamese,Nem nướng D'ran - Trương Quyền,60.000đ-100.000đ
Manwah,District 5,Main meal,Vietnamese,Manwah - Taiwanese Hotpot An Dương Vương,>500.000đ
Chilli Thái,District 1,Main meal,Thai,Chilli Thai - Vincom Center Dong Khoi - Thai restaurant,300.000đ-500.000đ
Phở Phú Vương,District 3,Main meal,Vietnamese,Phở Phú Vương,60.000đ-100.000đ
Bún Bò Huế Chiến Mập,District 4,Main meal,Vietnamese,Bún bò Huế Chiến Mập,< 60.000đ
Hủ tiếu A Men,District 4,Main meal,Vietnamese,Hủ tiếu Nam vang Amen,60.000đ-100.000đ
Gentlemen's Coffee,District 4,Main meal,N/A,,60.000đ-100.000đ
Koi Thé,District 5,Cafe,N/A,KOI Thé Nguyễn Tri Phương,60.000đ-100.000đ
Phúc Long,District 1,Cafe,Vietnamese,Phúc Long,< 60.000đ
Bao tử cá chiên giòn Hoàng Nhi,District 10,Snacks,Vietnamese,Bao Tử Cá Chiên Giòn Hoàng Nhi - Chi Nhánh 1,60.000đ-100.000đ
Mochi Sweet,District 1,Dessert/Sweets,Japanese,Mochi Sweets,< 60.000đ
